Config,N,M,NNZ,MV (sec),SV (sec),Cores,Test,
Dense,14700,14700,216090000,0.0194135,0.0414892,40,PASSED,
Dense,14800,14800,219040000,0.0218519,0.0428904,40,PASSED,
Dense,14900,14900,222010000,0.0269305,0.0439386,40,PASSED,
Dense,15000,15000,225000000,0.0261575,0.0453467,40,PASSED,
Dense,15100,15100,228010000,0.0212789,0.0441759,40,PASSED,
Dense,15200,15200,231040000,0.0262994,0.0442311,40,PASSED,
Dense,15300,15300,234090000,0.0272967,0.0450029,40,PASSED,
Dense,15400,15400,237160000,0.0323987,0.0469994,40,PASSED,
Dense,15500,15500,240250000,0.029888,0.0470597,40,PASSED,
Dense,15600,15600,243360000,0.0257204,0.0446202,40,PASSED,
Dense,15700,15700,246490000,0.0288243,0.0453601,40,PASSED,
Dense,15800,15800,249640000,0.0305787,0.0473624,40,PASSED,
Dense,15900,15900,252810000,0.0321081,0.0483404,40,PASSED,
Dense,16000,16000,256000000,0.0317765,0.04827,40,PASSED,
Dense,16100,16100,259210000,0.0296038,0.0579774,40,PASSED,
Dense,16200,16200,262440000,0.0333439,0.0491522,40,PASSED,
Dense,16300,16300,265690000,0.0207008,0.0477489,40,PASSED,
Dense,16400,16400,268960000,0.0347888,0.0510514,40,PASSED,
Dense,16500,16500,272250000,0.0370207,0.0485597,40,PASSED,
Dense,16600,16600,275560000,0.0276745,0.0467896,40,PASSED,
Dense,16700,16700,278890000,0.0549076,0.0706637,40,PASSED,
Dense,16800,16800,282240000,0.0366957,0.0514877,40,PASSED,
Dense,16900,16900,285610000,0.0238948,0.0487826,40,PASSED,
Dense,17000,17000,289000000,0.0234628,0.0484187,40,PASSED,
Dense,17100,17100,292410000,0.0333331,0.0494076,40,PASSED,
Dense,17200,17200,295840000,0.0402649,0.0521925,40,PASSED,
Dense,17300,17300,299290000,0.0237331,0.0493638,40,PASSED,
Dense,17400,17400,302760000,0.0310202,0.0609659,40,PASSED,
Dense,17500,17500,306250000,0.0390956,0.0650453,40,PASSED,
Dense,17600,17600,309760000,0.0245379,0.0599421,40,PASSED,
Dense,17700,17700,313290000,0.0331061,0.0512687,40,PASSED,
Dense,17800,17800,316840000,0.027823,0.0498235,40,PASSED,
Dense,17900,17900,320410000,0.0313667,0.0521612,40,PASSED,
Dense,18000,18000,324000000,0.0324371,0.0512428,40,PASSED,
Dense,18100,18100,327610000,0.0430962,0.0550252,40,PASSED,
Dense,18200,18200,331240000,0.0266969,0.0496746,40,PASSED,
Dense,18300,18300,334890000,0.0473589,0.0573029,40,PASSED,
Dense,18400,18400,338560000,0.0430223,0.0562292,40,PASSED,
Dense,18500,18500,342250000,0.0470148,0.0565199,40,PASSED,
Dense,18600,18600,345960000,0.0494219,0.0556828,40,PASSED,
Dense,18700,18700,349690000,0.0452043,0.0565419,40,PASSED,
Dense,18800,18800,353440000,0.0484213,0.0589144,40,PASSED,
Dense,18900,18900,357210000,0.0401732,0.054227,40,PASSED,
Dense,19000,19000,361000000,0.0387153,0.0567765,40,PASSED,
Dense,19100,19100,364810000,0.0368897,0.0533743,40,PASSED,
Dense,19200,19200,368640000,0.0329233,0.0534675,40,PASSED,
Dense,19300,19300,372490000,0.0445006,0.0554956,40,PASSED,
Dense,19400,19400,376360000,0.0463222,0.0555281,40,PASSED,
Dense,19500,19500,380250000,0.0510199,0.0563327,40,PASSED,
Dense,19600,19600,384160000,0.0575797,0.062927,40,PASSED,
Dense,19700,19700,388090000,0.0317247,0.053141,40,PASSED,
Dense,19800,19800,392040000,0.0398136,0.0558796,40,PASSED,
Dense,19900,19900,396010000,0.0495448,0.0606618,40,PASSED,
Dense,20000,20000,400000000,0.0491175,0.0593755,40,PASSED,
